"SDFB Person ID","ODNB ID","Display Name","Prefix","First Name","Last Name","Suffix","Title","All Search Names","Gender","Historical Significance","Birth Year Type","Extant Birth Year","Alternate Birth Year","Death Year Type","Extant Death Year","Alternate Death Year","Group List","level","military","art","law","politics"
"10009913",70262,"Joan Prentice",NA,"Joan","Prentice","",NA,"Joan Prentice, Joan, Joan Prentis","female","","AF","1479",NA,"IN","1589","1589","[]","No Title",0,0,0,0
"10007605",17033,"Robert Lougher",NA,"Robert","Lougher","",NA,"Robert Lougher, Robert, Robert Lougher","male","ecclesiastical lawyer","AF","1475",NA,"IN","1585","1585","[]","No Title",0,0,1,0
"10009150",20854,"Abraham Ortelius",NA,"Abraham","Ortelius","",NA,"Abraham Ortelius, Abraham, Abraham Ortelius","male","map maker","IN","1527","1527","IN","1598","1598","[]","No Title",0,0,0,0
"10009935",22758,"Joshua Price",NA,"Joshua","Price","",NA,"Joshua Price, Joshua, Joshua Price","male","glass painter","IN","1672","1672","IN","1722","1722","[]","No Title",0,1,0,0
"10009922",29356,"Roland Preston",NA,"Roland","Preston","",NA,"Roland Preston, Roland, Roland Preston","male","Benedictine monk","IN","1567","1567","IN","1647","1647","[]","No Title",0,0,0,0
"10009936",22759,"Laurence Price",NA,"Laurence","Price","",NA,"Laurence Price, Laurence, Laurence Price","male","ballad and chapbook writer","IN","1628","1628","IN","1675","1675","[]","No Title",0,1,0,0
"10010113",74979,"Marco Raphael",NA,"Marco","Raphael","",NA,"Marco Raphael, Marco, Marco Raphael","male","Hebraist","IN","1529","1529","IN","1534","1534","[]","No Title",0,0,0,0
"10051666",NA,"Joan Acworth",NA,"Joan","Acworth","",NA,"Joan, Joan Acworth, Joan Ackworth, Joan Akworth","female","","IN","1519","","IN","1590","","[]","No Title",0,0,0,0
"10011346",45825,"Rachel Speght",NA,"Rachel","Speght","",NA,"Rachel Speght, Rachel Procter, Rachel, Rachel Speght","female","polemicist and poet","CA","1597","1597","BF/IN","1661","1661","[]","No Title",0,1,0,0
"10011914",38066,"Sir John Thoroughgood","Sir","John","Thoroughgood","","Sir","John Thoroughgood, Sir John, Sir John Thoroughgood, Sir Thoroughgood, John, John Thoroughgood","male","government official","CA","1594","1594","IN","1675","1675","[]","Significant",0,0,0,1
"10011756",68784,"Edward Symmons",NA,"Edward","Symmons","","church","Edward Symmons, Edward, Edward Symmons","male","Church of England clergyman and author","IN","1607","1607","IN","1649","1649","[]","Religion",0,1,0,0
"10010976",25302,"Alexander Sheilds",NA,"Alexander","Sheilds","","church","Alexander Sheilds, Alexander, Alexander Sheilds","male","Presbyterian minister","IN","1659","1660","IN","1700","1700","[]","Religion",0,0,0,0
"10010878",25071,"Hew Sempill",NA,"Hew","Sempill","",NA,"Hew Sempill, Hew, Hew Sempill","male","army officer","IN","1688","1688","IN","1746","1746","[]","No Title",1,0,0,0
"10008235",18632,"Othowell Meverell",NA,"Othowell","Meverell","",NA,"Othowell Meverell, Othowell, Othowell Meverell","male","physician","IN","1586","1588","IN","1648","1648","[]","No Title",0,0,0,0
"10001866",4189,"James Butler",NA,"James","Butler","",NA,"James Butler, James Bocach, James, James Butler","male","nobleman","AF/IN","1496","1496","IN","1546","1546","[]","Noble",0,0,0,0
"10001970",4460,"George Camocke",NA,"George","Camocke","",NA,"George Camocke, George, George Camocke","male","Jacobite naval officer and officer in the Spanish service","IN","1666","1666","IN","1732","1732","[]","No Title",1,0,0,0
"10008401",19034,"William Montagu",NA,"William","Montagu","",NA,"William Montagu, William, William Montagu","male","judge and politician","IN","1618","1619","IN","1706","1706","[]","No Title",0,0,1,1
"10011012",25352,"William Shepreve",NA,"William","Shepreve","","church","William Shepreve, William Sheprey, William, William Shepreve","male","Roman Catholic priest and scholar","IN","1540","1540","IN","1598","1598","[]","Religion",0,0,0,0
"10051285",NA,"Anne Vaux",NA,"Anne","Vaux","",NA,"Anne, Anne Vaux","female","","IN","1494","","AF/IN","1548","","[]","No Title",0,0,0,0
"10012866",94980,"Roger Wigston",NA,"Roger","Wigston","",NA,"Roger Wigston, Roger, Roger Wigston","male","wool merchant and lawyer","IN","1482","1483","IN","1542","1542","[]","No Title",0,0,1,0
"10012858",29365,"John Wigan",NA,"John","Wigan","",NA,"John Wigan, John, John Wigan","male","physician and author","IN","1696","1696","IN","1739","1739","[]","No Title",0,1,0,0
"10001433",73925,"Joan Bracey",NA,"Joan","Bracey","",NA,"Joan Bracey, Joan Phillips, Joan, Joan Bracey","female","highwaywoman","CA","1656","1656","CA","1685","1685","[]","No Title",0,0,0,0
"10050394",NA,"Agnes Thornton",NA,"Agnes","Thornton","",NA,"Agnes, Agnes Thornton","female","","AF/IN","1420","","AF/IN","1530","","[]","No Title",0,0,0,0
"10010351",23840,"Henry Robinson",NA,"Henry","Robinson","","church","Henry Robinson, Henry, Henry Robinson","male","bishop of Carlisle","IN","1551","1552","IN","1616","1616","[]","Religion",0,0,0,0
